Nr. ,Name ,Wahlbe rechtigte,abgegeb. Stimmen,Wahlbet. in %,ungültige Stimmen,ungültige in %,gültige Stimmen,gültige in %,ÖVP Stimmen,ÖVP Ant. %,SPÖ Stimmen,SPÖ Ant. %,FPÖ Stimmen,FPÖ Ant. %,GRÜNE Stimmen,GRÜNE Ant. %,BZÖ Stimmen,BZÖ Ant. %,KPÖ Stimmen,KPÖ Ant. %,MATIN Stimmen,MATIN Ant. %,erste Eingabe Datum, Zeit,letzte Eingabe Datum
41004,Eggendorf im Traunkreis       ,562,448,79.719999999999999,4,0.89000000000000001,444,99.109999999999999,175,39.409999999999997,170,38.289999999999999,42,9.4600000000000009,27,6.0800000000000001,10,2.25,1,0.23000000000000001,19,4.2800000000000002,1-10-06,2:37:26 PM,1-10-06,2:39:15 PM
41005,Enns                          ,7779,5916,76.049999999999997,107,1.8100000000000001,5809,98.189999999999998,1503,25.870000000000001,2704,46.549999999999997,630,10.85,607,10.449999999999999,131,2.2599999999999998,35,0.59999999999999998,199,3.4300000000000002,1-10-06,6:34:28 PM,1-10-06,6:34:28 PM
41006,Hargelsberg                   ,885,745,84.180000000000007,18,2.4199999999999999,727,97.579999999999998,308,42.369999999999997,229,31.5,68,9.3499999999999996,58,7.9800000000000004,26,3.5800000000000001,8,1.1000000000000001,30,4.1299999999999999,1-10-06,4:46:58 PM,1-10-06,4:46:58 PM
41007,Hörsching                     ,4120,3290,79.849999999999994,63,1.9099999999999999,3227,98.090000000000003,849,26.309999999999999,1377,42.670000000000002,460,14.25,294,9.1099999999999994,94,2.9100000000000001,22,0.68000000000000005,131,4.0599999999999996,1-10-06,6:11:45 PM,1-10-06,6:11:45 PM
41008,Hofkirchen im Traunkreis      ,1137,915,80.469999999999999,21,2.2999999999999998,894,97.700000000000003,361,40.380000000000003,303,33.890000000000001,88,9.8399999999999999,87,9.7300000000000004,21,2.3500000000000001,9,1.01,25,2.7999999999999998,1-10-06,4:21:59 PM,1-10-06,4:21:59 PM
41009,Kematen an der Krems          ,1676,1379,82.280000000000001,29,2.1000000000000001,1350,97.900000000000006,555,41.109999999999999,478,35.409999999999997,167,12.369999999999999,88,6.5199999999999996,24,1.78,7,0.52000000000000002,31,2.2999999999999998,1-10-06,6:21:34 PM,1-10-06,6:21:34 PM
41010,Kirchberg-Thening             ,1766,1451,82.159999999999997,21,1.45,1430,98.549999999999997,342,23.920000000000002,690,48.25,184,12.869999999999999,157,10.98,20,1.3999999999999999,11,0.77000000000000002,26,1.8200000000000001,1-10-06,3:51:07 PM,1-10-06,3:52:38 PM
41011,Kronstorf                     ,2331,1900,81.510000000000005,33,1.74,1867,98.260000000000005,557,29.829999999999998,834,44.670000000000002,213,11.41,142,7.6100000000000003,50,2.6800000000000002,7,0.37,64,3.4300000000000002,1-10-06,5:59:24 PM,2-10-06,3:43:26 PM
41012,Leonding                      ,17607,13448,76.379999999999995,250,1.8600000000000001,13198,98.140000000000001,3699,28.030000000000001,5413,41.009999999999998,1556,11.789999999999999,1703,12.9,346,2.6200000000000001,108,0.81999999999999995,373,2.8300000000000001,1-10-06,6:06:41 PM,1-10-06,6:06:41 PM
41013,St.Florian                    ,4405,3612,82,87,2.4100000000000001,3525,97.590000000000003,1362,38.640000000000001,1237,35.090000000000003,316,8.9600000000000009,411,11.66,78,2.21,21,0.59999999999999998,100,2.8399999999999999,1-10-06,5:44:36 PM,1-10-06,6:07:35 PM
41014,Neuhofen an der Krems         ,4140,3282,79.280000000000001,77,2.3500000000000001,3205,97.650000000000006,1034,32.259999999999998,1188,37.07,374,11.67,436,13.6,63,1.97,36,1.1200000000000001,74,2.3100000000000001,1-10-06,6:27:23 PM,1-10-06,6:49:55 PM
41015,Niederneukirchen              ,1418,1249,88.079999999999998,14,1.1200000000000001,1235,98.879999999999995,540,43.719999999999999,425,34.409999999999997,96,7.7699999999999996,97,7.8499999999999996,30,2.4300000000000002,8,0.65000000000000002,39,3.1600000000000001,1-10-06,6:25:23 PM,1-10-06,6:25:23 PM
41016,Oftering                      ,1468,1228,83.650000000000006,29,2.3599999999999999,1199,97.640000000000001,345,28.77,526,43.869999999999997,150,12.51,111,9.2599999999999998,23,1.9199999999999999,13,1.0800000000000001,31,2.5899999999999999,1-10-06,5:17:12 PM,1-10-06,5:17:12 PM
41017,Pasching                      ,4895,3829,78.219999999999999,94,2.4500000000000002,3735,97.549999999999997,869,23.27,1752,46.909999999999997,501,13.41,382,10.23,94,2.52,18,0.47999999999999998,119,3.1899999999999999,1-10-06,5:44:14 PM,1-10-06,5:44:14 PM
41018,Piberbach                     ,1350,1110,82.219999999999999,16,1.4399999999999999,1094,98.560000000000002,344,31.440000000000001,470,42.960000000000001,144,13.16,81,7.4000000000000004,26,2.3799999999999999,5,0.46000000000000002,24,2.1899999999999999,1-10-06,5:18:57 PM,1-10-06,5:18:57 PM
41019,Pucking                       ,2753,2214,80.420000000000002,37,1.6699999999999999,2177,98.329999999999998,594,27.289999999999999,897,41.200000000000003,352,16.170000000000002,169,7.7599999999999998,59,2.71,19,0.87,87,4,1-10-06,4:50:07 PM,1-10-06,4:50:07 PM
41020,St.Marien                     ,3309,2710,81.900000000000006,63,2.3199999999999998,2647,97.680000000000007,930,35.130000000000003,1043,39.399999999999999,251,9.4800000000000004,266,10.050000000000001,67,2.5299999999999998,14,0.53000000000000003,76,2.8700000000000001,1-10-06,4:48:07 PM,1-10-06,5:36:26 PM
41021,Traun                         ,16669,12565,75.379999999999995,220,1.75,12345,98.25,2404,19.469999999999999,6272,50.810000000000002,1788,14.48,1006,8.1500000000000004,366,2.96,98,0.79000000000000004,411,3.3300000000000001,1-10-06,7:01:31 PM,1-10-06,7:01:31 PM
41022,Wilhering                     ,4162,3514,84.430000000000007,75,2.1299999999999999,3439,97.870000000000005,1277,37.130000000000003,1112,32.329999999999998,338,9.8300000000000001,509,14.800000000000001,86,2.5,22,0.64000000000000001,95,2.7599999999999998,1-10-06,5:27:00 PM,2-10-06,2:38:36 PM
41100,Bezirk Perg                          ,48784,40862,83.760000000000005,862,2.1099999999999999,40000,97.890000000000001,15221,38.049999999999997,16337,40.840000000000003,3765,9.4100000000000001,2901,7.25,701,1.75,223,0.56000000000000005,852,2.1299999999999999,1-10-06,5:40:27 PM,2-10-06,3:02:31 PM
41101,Allerheiligen im Mühlkreis    ,885,765,86.439999999999998,15,1.96,750,98.040000000000006,345,46,256,34.130000000000003,78,10.4,38,5.0700000000000003,17,2.27,9,1.2,7,0.93000000000000005,1-10-06,2:33:40 PM,1-10-06,2:33:40 PM
41102,Arbing                        ,1033,900,87.120000000000005,19,2.1099999999999999,881,97.890000000000001,412,46.770000000000003,285,32.350000000000001,65,7.3799999999999999,83,9.4199999999999999,9,1.02,3,0.34000000000000002,24,2.7200000000000002,1-10-06,4:54:43 PM,1-10-06,4:54:43 PM
41103,Baumgartenberg                ,1133,977,86.230000000000004,22,2.25,955,97.75,459,48.060000000000002,268,28.059999999999999,137,14.35,55,5.7599999999999998,19,1.99,1,0.10000000000000001,16,1.6799999999999999,1-10-06,5:32:34 PM,1-10-06,5:32:34 PM
41104,Dimbach                       ,801,701,87.519999999999996,12,1.71,689,98.290000000000006,356,51.670000000000002,226,32.799999999999997,47,6.8200000000000003,31,4.5,11,1.6000000000000001,3,0.44,15,2.1800000000000002,1-10-06,2:28:31 PM,1-10-06,2:28:31 PM
41105,Grein                         ,2376,1940,81.650000000000006,44,2.27,1896,97.730000000000004,723,38.130000000000003,774,40.82,160,8.4399999999999995,132,6.96,39,2.0600000000000001,6,0.32000000000000001,62,3.27,1-10-06,3:51:21 PM,1-10-06,3:51:21 PM
41106,Katsdorf                      ,2131,1785,83.760000000000005,33,1.8500000000000001,1752,98.150000000000006,585,33.390000000000001,749,42.75,146,8.3300000000000001,183,10.449999999999999,29,1.6599999999999999,13,0.73999999999999999,47,2.6800000000000002,1-10-06,4:51:12 PM,1-10-06,4:51:12 PM
41107,Klam                          ,631,561,88.909999999999997,12,2.1400000000000001,549,97.859999999999999,232,42.259999999999998,185,33.700000000000003,74,13.48,32,5.8300000000000001,14,2.5499999999999998,4,0.72999999999999998,8,1.46,1-10-06,2:01:55 PM,1-10-06,2:01:55 PM
41108,Bad Kreuzen                   ,1678,1455,86.709999999999994,49,3.3700000000000001,1406,96.629999999999995,924,65.719999999999999,194,13.800000000000001,159,11.31,77,5.4800000000000004,19,1.3500000000000001,5,0.35999999999999999,28,1.99,1-10-06,5:07:13 PM,1-10-06,5:07:13 PM
41109,Langenstein                   ,1979,1637,82.719999999999999,37,2.2599999999999998,1600,97.739999999999995,343,21.440000000000001,916,57.25,157,9.8100000000000005,100,6.25,25,1.5600000000000001,16,1,43,2.6899999999999999,1-10-06,5:27:27 PM,1-10-06,5:27:27 PM
41110,Luftenberg an der Donau       ,2973,2450,82.409999999999997,38,1.55,2412,98.450000000000003,511,21.190000000000001,1295,53.689999999999998,275,11.4,201,8.3300000000000001,49,2.0299999999999998,17,0.69999999999999996,64,2.6499999999999999,1-10-06,4:35:46 PM,1-10-06,4:35:46 PM
41111,Mauthausen                    ,3529,2845,80.620000000000005,50,1.76,2795,98.239999999999995,676,24.190000000000001,1535,54.920000000000002,246,8.8000000000000007,212,7.5800000000000001,57,2.04,22,0.79000000000000004,47,1.6799999999999999,1-10-06,4:49:43 PM,1-10-06,4:49:43 PM
41112,Mitterkirchen im Machland     ,1318,1146,86.950000000000003,28,2.4399999999999999,1118,97.560000000000002,525,46.960000000000001,397,35.509999999999998,73,6.5300000000000002,68,6.0800000000000001,21,1.8799999999999999,6,0.54000000000000004,28,2.5,1-10-06,3:53:33 PM,1-10-06,3:53:33 PM
41113,Münzbach                      ,1246,1072,86.040000000000006,25,2.3300000000000001,1047,97.670000000000002,619,59.119999999999997,210,20.059999999999999,130,12.42,41,3.9199999999999999,21,2.0099999999999998,2,0.19,24,2.29,1-10-06,4:41:33 PM,1-10-06,4:41:33 PM
41114,Naarn im Machlande            ,2524,2127,84.269999999999996,40,1.8799999999999999,2087,98.120000000000005,884,42.359999999999999,832,39.869999999999997,184,8.8200000000000003,89,4.2599999999999998,36,1.72,9,0.42999999999999999,53,2.54,1-10-06,4:58:38 PM,1-10-06,4:58:38 PM
41115,Pabneukirchen                 ,1289,1051,81.540000000000006,21,2,1030,98,580,56.310000000000002,261,25.34,73,7.0899999999999999,66,6.4100000000000001,23,2.23,8,0.78000000000000003,19,1.8400000000000001,1-10-06,2:52:42 PM,1-10-06,2:52:42 PM
41116,Perg                          ,5455,4431,81.230000000000004,93,2.1000000000000001,4338,97.900000000000006,1568,36.149999999999999,1645,37.920000000000002,480,11.07,428,9.8699999999999992,92,2.1200000000000001,26,0.59999999999999998,99,2.2799999999999998,1-10-06,5:40:27 PM,2-10-06,3:02:31 PM
41117,Rechberg                      ,655,571,87.180000000000007,13,2.2799999999999998,558,97.719999999999999,381,68.280000000000001,112,20.07,16,2.8700000000000001,30,5.3799999999999999,11,1.97,2,0.35999999999999999,6,1.0800000000000001,1-10-06,1:14:05 PM,1-10-06,1:14:05 PM
41118,Ried in der Riedmark          ,2988,2466,82.530000000000001,44,1.78,2422,98.219999999999999,833,34.390000000000001,1141,47.109999999999999,173,7.1399999999999997,194,8.0099999999999998,23,0.94999999999999996,12,0.5,46,1.8999999999999999,1-10-06,4:36:09 PM,1-10-06,4:36:09 PM
41119,St.Georgen am Walde           ,1640,1377,83.959999999999994,30,2.1800000000000002,1347,97.819999999999993,586,43.5,598,44.390000000000001,77,5.7199999999999998,43,3.1899999999999999,24,1.78,3,0.22,16,1.1899999999999999,1-10-06,1:52:04 PM,1-10-06,1:52:04 PM
41120,St.Georgen an der Gusen       ,2849,2391,83.920000000000002,47,1.97,2344,98.030000000000001,613,26.149999999999999,1217,51.920000000000002,181,7.7199999999999998,227,9.6799999999999997,44,1.8799999999999999,17,0.72999999999999998,45,1.9199999999999999,1-10-06,5:32:17 PM,1-10-06,5:32:17 PM
41121,St.Nikola an der Donau        ,597,495,82.909999999999997,7,1.4099999999999999,488,98.590000000000003,240,49.18,166,34.020000000000003,36,7.3799999999999999,30,6.1500000000000004,5,1.02,5,1.02,6,1.23,1-10-06,2:31:41 PM,1-10-06,2:31:41 PM
41122,St.Thomas am Blasenstein      ,655,551,84.120000000000005,18,3.27,533,96.730000000000004,346,64.920000000000002,126,23.640000000000001,27,5.0700000000000003,18,3.3799999999999999,8,1.5,3,0.56000000000000005,5,0.93999999999999995,1-10-06,1:18:52 PM,1-10-06,1:18:52 PM
41123,Saxen                         ,1302,1156,88.790000000000006,22,1.8999999999999999,1134,98.099999999999994,416,36.68,349,30.780000000000001,248,21.870000000000001,71,6.2599999999999998,18,1.5900000000000001,7,0.62,25,2.2000000000000002,1-10-06,4:52:43 PM,1-10-06,4:52:43 PM
41124,Schwertberg                   ,3890,3228,82.980000000000004,69,2.1400000000000001,3159,97.859999999999999,752,23.809999999999999,1649,52.200000000000003,344,10.890000000000001,286,9.0500000000000007,38,1.2,20,0.63,70,2.2200000000000002,1-10-06,4:54:31 PM,1-10-06,5:14:00 PM
41125,Waldhausen im Strudengau      ,2197,1897,86.349999999999994,56,2.9500000000000002,1841,97.049999999999997,811,44.049999999999997,735,39.920000000000002,121,6.5700000000000003,105,5.7000000000000002,33,1.79,3,0.16,33,1.79,1-10-06,5:35:23 PM,1-10-06,5:35:23 PM
41126,Windhaag bei Perg             ,1030,887,86.120000000000005,18,2.0299999999999998,869,97.969999999999999,501,57.649999999999999,216,24.859999999999999,58,6.6699999999999999,61,7.0199999999999996,16,1.8400000000000001,1,0.12,16,1.8400000000000001,1-10-06,3:53:57 PM,1-10-06,3:53:57 PM
41200,Bezirk Ried im Innkreis              ,44141,33643,76.219999999999999,895,2.6600000000000001,32748,97.340000000000003,13836,42.25,8349,25.489999999999998,5937,18.129999999999999,2657,8.1099999999999994,908,2.77,216,0.66000000000000003,845,2.5800000000000001,1-10-06,5:49:36 PM,1-10-06,9:17:01 PM
41201,Andrichsfurt                  ,539,425,78.849999999999994,13,3.0600000000000001,412,96.939999999999998,240,58.25,47,11.41,78,18.93,25,6.0700000000000003,7,1.7,4,0.96999999999999997,11,2.6699999999999999,1-10-06,1:15:18 PM,1-10-06,1:15:18 PM
41202,Antiesenhofen                 ,794,599,75.439999999999998,18,3.0099999999999998,581,96.989999999999995,210,36.140000000000001,189,32.530000000000001,76,13.08,41,7.0599999999999996,51,8.7799999999999994,3,0.52000000000000002,11,1.8899999999999999,1-10-06,1:37:17 PM,1-10-06,1:37:17 PM
41203,Aurolzmünster                 ,2225,1527,68.629999999999995,45,2.9500000000000002,1482,97.049999999999997,508,34.280000000000001,440,29.690000000000001,363,24.489999999999998,68,4.5899999999999999,34,2.29,9,0.60999999999999999,60,4.0499999999999998,1-10-06,4:05:51 PM,1-10-06,4:05:51 PM
41204,Eberschwang                   ,2527,2007,79.420000000000002,62,3.0899999999999999,1945,96.909999999999997,609,31.309999999999999,716,36.810000000000002,341,17.530000000000001,161,8.2799999999999994,53,2.7200000000000002,12,0.62,53,2.7200000000000002,1-10-06,4:19:17 PM,1-10-06,4:19:17 PM
41205,Eitzing                       ,551,434,78.769999999999996,7,1.6100000000000001,427,98.390000000000001,197,46.140000000000001,96,22.48,75,17.559999999999999,25,5.8499999999999996,12,2.8100000000000001,2,0.46999999999999997,20,4.6799999999999997,1-10-06,1:47:07 PM,1-10-06,1:47:07 PM
41206,Geiersberg                    ,410,319,77.799999999999997,8,2.5099999999999998,311,97.489999999999995,165,53.049999999999997,76,24.440000000000001,39,12.539999999999999,16,5.1399999999999997,7,2.25,0,0,8,2.5699999999999998,1-10-06,11:48:43 AM,1-10-06,11:48:43 AM
41207,Geinberg                      ,999,746,74.670000000000002,17,2.2799999999999998,729,97.719999999999999,292,40.049999999999997,166,22.77,166,22.77,53,7.2699999999999996,26,3.5699999999999998,6,0.81999999999999995,20,2.7400000000000002,1-10-06,2:28:59 PM,1-10-06,7:13:08 PM
41208,Gurten                        ,857,680,79.349999999999994,12,1.76,668,98.239999999999995,314,47.009999999999998,160,23.949999999999999,112,16.77,45,6.7400000000000002,17,2.54,3,0.45000000000000001,17,2.54,1-10-06,1:44:00 PM,1-10-06,1:44:00 PM
41209,Hohenzell                     ,1565,1250,79.870000000000005,35,2.7999999999999998,1215,97.200000000000003,652,53.659999999999997,191,15.720000000000001,167,13.74,112,9.2200000000000006,41,3.3700000000000001,9,0.73999999999999999,43,3.54,1-10-06,3:17:32 PM,1-10-06,5:35:40 PM
41210,Kirchdorf am Inn              ,457,385,84.25,13,3.3799999999999999,372,96.620000000000005,211,56.719999999999999,72,19.350000000000001,49,13.17,16,4.2999999999999998,13,3.4900000000000002,2,0.54000000000000004,9,2.4199999999999999,1-10-06,1:21:23 PM,1-10-06,1:21:23 PM
41211,Kirchheim im Innkreis         ,524,415,79.200000000000003,8,1.9299999999999999,407,98.069999999999993,211,51.840000000000003,87,21.379999999999999,64,15.720000000000001,23,5.6500000000000004,8,1.97,1,0.25,13,3.1899999999999999,1-10-06,1:37:40 PM,1-10-06,1:37:40 PM
41212,Lambrechten                   ,1001,801,80.019999999999996,30,3.75,771,96.25,413,53.57,156,20.23,130,16.859999999999999,35,4.54,16,2.0800000000000001,6,0.78000000000000003,15,1.95,1-10-06,3:18:18 PM,1-10-06,3:18:18 PM
41213,Lohnsburg am Kobernaußerwald  ,1784,1368,76.680000000000007,34,2.4900000000000002,1334,97.510000000000005,645,48.350000000000001,279,20.91,244,18.289999999999999,92,6.9000000000000004,23,1.72,9,0.67000000000000004,42,3.1499999999999999,1-10-06,1:57:33 PM,1-10-06,1:57:33 PM
41214,Mehrnbach                     ,1818,1349,74.200000000000003,27,2,1322,98,504,38.119999999999997,280,21.18,369,27.91,101,7.6399999999999997,27,2.04,7,0.53000000000000003,34,2.5699999999999998,1-10-06,3:07:06 PM,1-10-06,3:07:06 PM
41215,Mettmach                      ,1926,1439,74.709999999999994,53,3.6800000000000002,1386,96.319999999999993,558,40.259999999999998,376,27.129999999999999,285,20.559999999999999,65,4.6900000000000004,53,3.8199999999999998,13,0.93999999999999995,36,2.6000000000000001,1-10-06,2:07:30 PM,1-10-06,5:50:09 PM
41216,Mörschwang                    ,225,189,84,7,3.7000000000000002,182,96.299999999999997,116,63.740000000000002,21,11.539999999999999,21,11.539999999999999,18,9.8900000000000006,5,2.75,0,0,1,0.55000000000000004,1-10-06,12:22:26 AM,1-10-06,12:22:26 AM
41217,Mühlheim am Inn               ,507,420,82.840000000000003,6,1.4299999999999999,414,98.569999999999993,154,37.200000000000003,149,35.990000000000002,49,11.84,39,9.4199999999999999,14,3.3799999999999999,4,0.96999999999999997,5,1.21,1-10-06,1:21:42 PM,1-10-06,1:21:42 PM
41218,Neuhofen im Innkreis          ,1649,1298,78.709999999999994,35,2.7000000000000002,1263,97.299999999999997,545,43.149999999999999,334,26.440000000000001,186,14.73,139,11.01,30,2.3799999999999999,4,0.32000000000000001,25,1.98,1-10-06,3:23:15 PM,1-10-06,3:23:15 PM
41219,Obernberg am Inn              ,1224,759,62.009999999999998,18,2.3700000000000001,741,97.629999999999995,286,38.600000000000001,214,28.879999999999999,133,17.949999999999999,53,7.1500000000000004,27,3.6400000000000001,3,0.40000000000000002,25,3.3700000000000001,1-10-06,3:41:15 PM,1-10-06,3:41:15 PM
41220,Ort im Innkreis               ,896,676,75.450000000000003,18,2.6600000000000001,658,97.340000000000003,290,44.07,121,18.390000000000001,164,24.920000000000002,40,6.0800000000000001,20,3.04,1,0.14999999999999999,22,3.3399999999999999,1-10-06,2:29:29 PM,1-10-06,2:29:29 PM
41221,Pattigham                     ,634,532,83.909999999999997,13,2.4399999999999999,519,97.560000000000002,268,51.640000000000001,90,17.34,91,17.530000000000001,36,6.9400000000000004,16,3.0800000000000001,5,0.95999999999999996,13,2.5,1-10-06,1:16:17 PM,1-10-06,1:16:17 PM
41222,Peterskirchen                 ,541,447,82.620000000000005,17,3.7999999999999998,430,96.200000000000003,271,63.020000000000003,41,9.5299999999999994,70,16.280000000000001,30,6.9800000000000004,7,1.6299999999999999,6,1.3999999999999999,5,1.1599999999999999,1-10-06,1:57:59 PM,1-10-06,1:57:59 PM
41223,Pramet                        ,771,564,73.150000000000006,19,3.3700000000000001,545,96.629999999999995,214,39.270000000000003,167,30.640000000000001,101,18.530000000000001,35,6.4199999999999999,8,1.47,5,0.92000000000000004,15,2.75,1-10-06,1:37:57 PM,1-10-06,1:37:57 PM
41224,Reichersberg                  ,1054,781,74.099999999999994,17,2.1800000000000002,764,97.819999999999993,362,47.380000000000003,173,22.640000000000001,144,18.850000000000001,49,6.4100000000000001,11,1.4399999999999999,4,0.52000000000000002,21,2.75,1-10-06,1:16:36 PM,1-10-06,1:16:36 PM
41225,Ried im Innkreis              ,8469,6168,72.829999999999998,124,2.0099999999999998,6044,97.989999999999995,1966,32.530000000000001,1758,29.09,1174,19.420000000000002,753,12.460000000000001,208,3.4399999999999999,44,0.72999999999999998,141,2.3300000000000001,1-10-06,5:49:36 PM,1-10-06,5:49:36 PM
41226,St.Georgen b. Obernberg am Inn,451,376,83.370000000000005,8,2.1299999999999999,368,97.870000000000005,246,66.849999999999994,37,10.050000000000001,36,9.7799999999999994,42,11.41,3,0.81999999999999995,1,0.27000000000000002,3,0.81999999999999995,1-10-06,3:26:37 PM,1-10-06,3:26:37 PM
41227,St.Marienkirchen am Hausruck  ,568,485,85.390000000000001,15,3.0899999999999999,470,96.909999999999997,235,50,66,14.039999999999999,110,23.399999999999999,30,6.3799999999999999,12,2.5499999999999998,6,1.28,11,2.3399999999999999,1-10-06,1:38:13 PM,1-10-06,1:38:13 PM
41228,St.Martin im Innkreis         ,1207,884,73.239999999999995,20,2.2599999999999998,864,97.739999999999995,315,36.460000000000001,230,26.620000000000001,209,24.190000000000001,69,7.9900000000000002,16,1.8500000000000001,3,0.34999999999999998,22,2.5499999999999998,1-10-06,3:18:36 PM,1-10-06,3:18:36 PM
41229,Schildorn                     ,802,641,79.930000000000007,8,1.25,633,98.75,291,45.969999999999999,214,33.810000000000002,69,10.9,30,4.7400000000000002,8,1.26,9,1.4199999999999999,12,1.8999999999999999,1-10-06,1:21:58 PM,1-10-06,9:17:01 PM
41230,Senftenbach                   ,563,456,80.989999999999995,18,3.9500000000000002,438,96.049999999999997,177,40.409999999999997,108,24.66,97,22.149999999999999,36,8.2200000000000006,7,1.6000000000000001,5,1.1399999999999999,8,1.8300000000000001,1-10-06,2:07:52 PM,1-10-06,2:07:52 PM
41231,Taiskirchen im Innkreis       ,1824,1471,80.650000000000006,54,3.6699999999999999,1417,96.329999999999998,730,51.520000000000003,334,23.57,159,11.220000000000001,117,8.2599999999999998,32,2.2599999999999998,6,0.41999999999999998,39,2.75,1-10-06,3:18:52 PM,1-10-06,3:18:52 PM
41232,Tumeltsham                    ,1127,911,80.829999999999998,39,4.2800000000000002,872,95.719999999999999,373,42.780000000000001,150,17.199999999999999,195,22.359999999999999,108,12.390000000000001,25,2.8700000000000001,2,0.23000000000000001,19,2.1800000000000002,1-10-06,3:19:08 PM,1-10-06,3:19:08 PM
41233,Utzenaich                     ,1123,893,79.519999999999996,16,1.79,877,98.209999999999994,390,44.469999999999999,221,25.199999999999999,149,16.989999999999998,49,5.5899999999999999,30,3.4199999999999999,13,1.48,25,2.8500000000000001,1-10-06,3:52:02 PM,1-10-06,3:52:02 PM
41234,Waldzell                      ,1613,1213,75.200000000000003,42,3.46,1171,96.540000000000006,514,43.890000000000001,409,34.93,133,11.359999999999999,60,5.1200000000000001,26,2.2200000000000002,8,0.68000000000000005,21,1.79,1-10-06,2:16:45 PM,1-10-06,2:16:45 PM
41235,Weilbach                      ,482,374,77.590000000000003,8,2.1400000000000001,366,97.859999999999999,216,59.020000000000003,69,18.850000000000001,44,12.02,25,6.8300000000000001,6,1.6399999999999999,0,0,6,1.6399999999999999,1-10-06,1:31:54 PM,1-10-06,1:31:54 PM
41236,Wippenham                     ,434,361,83.180000000000007,11,3.0499999999999998,350,96.950000000000003,148,42.289999999999999,112,32,45,12.859999999999999,21,6,9,2.5699999999999998,1,0.28999999999999998,14,4,1-10-06,1:38:59 PM,1-10-06,1:38:59 PM
41300,Bezirk Rohrbach                      ,43732,35330,80.790000000000006,975,2.7599999999999998,34355,97.239999999999995,18003,52.399999999999999,8714,25.359999999999999,3006,8.75,2652,7.7199999999999998,822,2.3900000000000001,271,0.79000000000000004,887,2.5800000000000001,1-10-06,5:51:32 PM,1-10-06,7:49:36 PM
41301,Afiesl                        ,323,293,90.709999999999994,7,2.3900000000000001,286,97.609999999999999,145,50.700000000000003,92,32.170000000000002,14,4.9000000000000004,16,5.5899999999999999,3,1.05,7,2.4500000000000002,9,3.1499999999999999,1-10-06,2:36:08 PM,1-10-06,2:36:08 PM
41302,Ahorn                         ,388,331,85.310000000000002,7,2.1099999999999999,324,97.890000000000001,185,57.100000000000001,72,22.219999999999999,34,10.49,13,4.0099999999999998,8,2.4700000000000002,6,1.8500000000000001,6,1.8500000000000001,1-10-06,1:11:08 PM,1-10-06,1:11:08 PM
41303,Aigen im Mühlkreis            ,1468,1106,75.340000000000003,42,3.7999999999999998,1064,96.200000000000003,486,45.68,304,28.57,105,9.8699999999999992,102,9.5899999999999999,30,2.8199999999999998,5,0.46999999999999997,32,3.0099999999999998,1-10-06,4:59:52 PM,1-10-06,4:59:52 PM
41304,Altenfelden                   ,1650,1298,78.670000000000002,60,4.6200000000000001,1238,95.379999999999995,557,44.990000000000002,316,25.530000000000001,150,12.119999999999999,98,7.9199999999999999,49,3.96,13,1.05,55,4.4400000000000004,1-10-06,3:41:26 PM,1-10-06,3:41:26 PM
41305,Arnreit                       ,827,696,84.159999999999997,19,2.73,677,97.269999999999996,431,63.659999999999997,102,15.07,61,9.0099999999999998,39,5.7599999999999998,22,3.25,5,0.73999999999999999,17,2.5099999999999998,1-10-06,4:22:22 PM,1-10-06,4:22:22 PM
41306,Atzesberg                     ,356,309,86.799999999999997,6,1.9399999999999999,303,98.060000000000002,215,70.959999999999994,31,10.23,19,6.2699999999999996,14,4.6200000000000001,9,2.9700000000000002,5,1.6499999999999999,10,3.2999999999999998,1-10-06,2:26:49 PM,1-10-06,2:26:49 PM
41307,Auberg                        ,411,317,77.129999999999995,8,2.52,309,97.480000000000004,185,59.869999999999997,50,16.18,38,12.300000000000001,16,5.1799999999999997,6,1.9399999999999999,1,0.32000000000000001,13,4.21,1-10-06,1:11:26 PM,1-10-06,1:11:26 PM
41308,Berg bei Rohrbach             ,2049,1634,79.75,44,2.6899999999999999,1590,97.310000000000002,779,48.990000000000002,359,22.579999999999998,160,10.06,185,11.640000000000001,50,3.1400000000000001,10,0.63,47,2.96,1-10-06,4:31:35 PM,1-10-06,4:31:35 PM
41309,Haslach an der Mühl           ,2052,1643,80.069999999999993,50,3.04,1593,96.959999999999994,588,36.909999999999997,637,39.990000000000002,124,7.7800000000000002,163,10.23,38,2.3900000000000001,11,0.68999999999999995,32,2.0099999999999998,1-10-06,3:26:54 PM,1-10-06,3:26:54 PM
41310,Helfenberg                    ,775,670,86.450000000000003,17,2.54,653,97.459999999999994,342,52.369999999999997,147,22.510000000000002,65,9.9499999999999993,52,7.96,10,1.53,11,1.6799999999999999,26,3.98,1-10-06,2:15:46 PM,1-10-06,2:15:46 PM
41311,Hörbich                       ,307,261,85.019999999999996,11,4.21,250,95.790000000000006,171,68.400000000000006,29,11.6,27,10.800000000000001,8,3.2000000000000002,10,4,0,0,5,2,1-10-06,3:51:09 PM,1-10-06,3:51:09 PM
