WAHLKREIS,WAHL_DATUM,'SPÖ','ÖVP','GRÜNE','FPÖ'
Klam,2017-10-15,80,172,9,166
Bad Kreuzen,2017-10-15,124,660,40,326
Waldhausen im Strudengau,2017-10-15,458,615,23,454
Tumeltsham,2017-10-15,128,335,30,260
Wippenham,2017-10-15,93,104,15,98
Atzesberg,2017-10-15,37,147,4,93
Haslach an der Mühl,2017-10-15,429,510,63,318
Hörbich,2017-10-15,21,137,2,87
Ebensee,2017-10-15,1683,974,97,1175
Traunkirchen,2017-10-15,257,295,37,164
St.Agatha,2017-10-15,190,629,25,374
Hinterstoder,2017-10-15,91,203,9,133
Schlierbach,2017-10-15,340,474,63,423
Ansfelden,2017-10-15,2474,1412,148,2492
St.Willibald,2017-10-15,109,242,22,303
Adlwang,2017-10-15,161,429,23,273
Dietach,2017-10-15,545,605,89,415
Garsten,2017-10-15,1011,1133,161,993
St.Radegund,2019-09-29,13,217,37,28
Grünbach,2019-09-29,185,418,92,193
Sandl,2019-09-29,223,325,78,124
Unterweißenbach,2019-09-29,166,670,68,241
Innviertel,2019-09-29,19734,54648,12882,27322
Aspach,2019-09-29,140,594,69,293
Braunau am Inn,2019-09-29,1555,1960,898,1220
Gilgenberg am Weilhart,2019-09-29,56,345,42,161
Moosbach,2019-09-29,50,207,35,165
Windhaag bei Perg,2019-09-29,101,409,74,119
Ried,2019-09-29,5228,14904,4011,7882
Geinberg,2019-09-29,58,237,45,136
Gurten,2019-09-29,98,231,31,144
Ried im Innkreis,2019-09-29,971,1454,612,982
Waldzell,2019-09-29,194,511,68,275
Niederkappel,2019-09-29,45,324,30,102
Niederwaldkirchen,2019-09-29,115,485,124,147
Peilstein im Mühlviertel,2019-09-29,130,511,59,120
Vorchdorf,2019-09-29,822,1328,494,771
Gallspach,2019-09-29,233,359,103,297
Heiligenberg,2019-09-29,21,275,29,94
St.Thomas,2019-09-29,42,151,27,56
Waizenkirchen,2019-09-29,243,938,218,396
Kirchdorf,2019-09-29,6748,12971,4160,6223
Kirchdorf an der Krems,2019-09-29,539,559,342,288
Nußbach,2019-09-29,192,625,125,158
Oberschlierbach,2019-09-29,34,135,44,29
Asten,2019-09-29,1020,797,246,648
Kematen an der Krems,2019-09-29,268,511,116,258
Leonding,2019-09-29,3427,3713,2163,1989
St.Marien,2019-09-29,583,900,299,377
Großraming,2019-09-29,398,588,137,221
Weyer,2019-09-29,612,795,239,378
Feldkirchen an der Donau,2019-09-29,674,1089,409,538
Puchkirchen am Trattberg,2019-09-29,81,225,67,75
Rutzenham,2019-09-29,13,82,27,26
Zell am Moos,2019-09-29,65,373,64,140
Kirchschlag bei Linz,2019-09-29,175,452,201,172
Ottenschlag im Mühlkreis,2019-09-29,48,151,15,61
Zwettl an der Rodl,2019-09-29,159,377,194,102
Attnang-Puchheim,2019-09-29,1097,780,351,620
Gampern,2019-09-29,226,719,237,260
Innerschwand,2019-09-29,37,320,65,58
Helfenberg,2019-09-29,157,368,78,162
Schärding,2019-09-29,5622,16370,3440,8366
Kopfing im Innkreis,2019-09-29,117,512,75,303
Rainbach im Innkreis,2019-09-29,125,376,54,213
St.Aegidi,2019-09-29,93,484,63,230
Vichtenstein,2019-09-29,22,183,12,67
Steyr-Land,2019-09-29,9266,14913,4780,6321
Steinhaus,2019-09-29,158,422,88,298
Palting,2019-09-29,45,278,29,117
Pfaffstätt,2019-09-29,90,246,39,87
St.Georgen am Fillmannsbach,2019-09-29,11,104,10,93
Hochburg-Ach                  ,2002-11-24,343,1027,131,168
Lochen                        ,2002-11-24,291,789,89,157
Pregarten                     ,2002-11-24,1354,1301,219,219
St.Leonhard bei Freistadt     ,2002-11-24,324,557,28,56
Tragwein                      ,2002-11-24,828,897,112,101
Bad Goisern                   ,2002-11-24,2314,1192,336,639
Gosau                         ,2002-11-24,675,374,61,74
Obertraun                     ,2002-11-24,275,153,36,26
St.Georgen am Fillmannsbach   ,2002-11-24,27,108,4,91
Schwand im Innkreis           ,2002-11-24,111,352,12,62
Eferding                      ,2002-11-24,800,818,171,249
Utzenaich                     ,2002-11-24,226,469,46,128
Wippenham                     ,2002-11-24,129,178,17,33
Altenfelden                   ,2002-11-24,341,690,98,171
St.Peter am Wimberg           ,2002-11-24,177,780,50,64
Pollham                       ,2002-11-24,102,351,31,58
Steegen                       ,2002-11-24,177,403,39,47
Tollet                        ,2002-11-24,182,268,54,39
Kronstorf                     ,2002-11-24,873,686,110,205
Niederneukirchen              ,2002-11-24,395,580,89,81
Waldhausen im Strudengau      ,2002-11-24,723,884,104,104
Mehrnbach                     ,2002-11-24,329,712,79,255
Schildorn                     ,2002-11-24,202,310,35,54
Steyregg                      ,2002-11-24,1466,1079,301,265
Zwettl an der Rodl            ,2002-11-24,242,623,118,66
Bad Wimsbach-Neydharting      ,2002-11-24,502,710,79,137
Lambach                       ,2002-11-24,680,657,152,219
Steinhaus                     ,2002-11-24,341,529,66,255
Thalheim bei Wels             ,2002-11-24,1023,1288,364,349
Weißkirchen an der Traun      ,2002-11-24,648,709,117,131
Oberhofen am Irrsee           ,2002-11-24,220,444,50,75
Enzenkirchen                  ,2002-11-24,348,515,21,183
Rainbach im Innkreis          ,2002-11-24,226,561,34,123
Suben                         ,2002-11-24,202,384,36,109
Garsten                       ,2002-11-24,1436,1802,399,330
Großraming                    ,2002-11-24,705,875,128,146
Laussa                        ,2002-11-24,223,436,54,89
Pfarrkirchen bei Bad Hall     ,2002-11-24,487,566,87,153
Wolfern                       ,2002-11-24,621,961,110,158
Schardenberg                  ,2008-09-28,191,570,64,247
Taufkirchen an der Pram       ,2008-09-28,506,517,103,360
Bezirk Steyr-Land                    ,2008-09-28,11978,11591,3406,6224
Laussa                        ,2008-09-28,201,241,60,139
Bad Leonfelden                ,2008-09-28,417,870,245,394
Engerwitzdorf                 ,2008-09-28,1466,1127,624,921
Gallneukirchen                ,2008-09-28,1085,883,761,527
Goldwörth                     ,2008-09-28,147,204,59,73
Gramastetten                  ,2008-09-28,644,1103,343,441
Sonnberg im Mühlkreis         ,2008-09-28,100,187,48,86
Atzbach                       ,2008-09-28,98,309,51,185
Frankenmarkt                  ,2008-09-28,479,538,107,472
Innerschwand                  ,2008-09-28,59,314,55,83
Rohrbach in Oberösterreich    ,2008-09-28,299,519,189,218
St.Johann am Wimberg          ,2008-09-28,114,261,35,110
Engelhartszell                ,2008-09-28,120,245,40,130
Mayrhof                       ,2008-09-28,16,102,6,35
Lambach                       ,2008-09-28,546,369,169,380
Marchtrenk                    ,2008-09-28,2803,958,509,1468
Pichl bei Wels                ,2008-09-28,400,493,143,338
Stadl-Paura                   ,2008-09-28,993,339,200,721
Redleiten                     ,2008-09-28,75,90,7,72
Seewalchen am Attersee        ,2008-09-28,839,636,300,754
Steinbach am Attersee         ,2008-09-28,120,193,37,79
Vöcklabruck                   ,2008-09-28,1909,1394,847,1267
Weißenkirchen im Attergau     ,2008-09-28,84,234,30,130
Bezirk Wels-Land                     ,2008-09-28,12380,10663,3561,9039
Edt bei Lambach               ,2008-09-28,355,334,84,293
Wahlkreis Linz und Umgebung,2008-09-28,71676,34969,23588,34949
Bezirk Braunau am Inn                ,2008-09-28,14130,16235,4338,11804
Prambachkirchen               ,2008-09-28,412,662,128,363
St.Marienkirchen an d. Polsenz,2008-09-28,357,403,127,351
Liebenau                      ,2008-09-28,290,519,34,158
Pierbach                      ,2008-09-28,131,230,32,142
St.Oswald bei Freistadt       ,2008-09-28,509,532,83,338
Tragwein                      ,2008-09-28,701,685,149,285
Weitersfelden                 ,2008-09-28,175,332,49,86
Eggelsberg                    ,2008-09-28,218,336,82,191
Mauerkirchen                  ,2008-09-28,337,236,70,283
Mining                        ,2008-09-28,153,233,62,132
Palting                       ,2008-09-28,92,224,42,86
Polling im Innkreis           ,2008-09-28,136,206,18,123
Schwand im Innkreis           ,2008-09-28,75,222,31,110
Peuerbach                     ,2008-09-28,263,419,126,237
Taufkirchen an der Trattnach  ,2008-09-28,259,385,67,314
Wendling                      ,2008-09-28,62,218,30,109
Molln                         ,2008-09-28,757,536,183,374
Oberschlierbach               ,2008-09-28,75,117,35,22
Vorderstoder                  ,2008-09-28,94,169,22,91
Wartberg an der Krems         ,2008-09-28,358,731,140,298
Bezirk Linz-Land                     ,2008-09-28,30480,17042,8473,16024
Kirchberg-Thening             ,2008-09-28,569,262,178,257
Leonding                      ,2008-09-28,4916,2823,1714,2279
St.Marien                     ,2008-09-28,962,756,228,511
Baumgartenberg                ,2008-09-28,224,384,56,234
Langenstein                   ,2008-09-28,781,241,111,317
Münzbach                      ,2008-09-28,199,465,39,202
Perg                          ,2008-09-28,1459,1197,393,769
Windhaag bei Perg             ,2008-09-28,160,376,58,114
Andrichsfurt                  ,2008-09-28,34,162,31,109
Aurolzmünster                 ,2008-09-28,396,354,81,492
Mehrnbach                     ,2008-09-28,263,382,96,471
Obernberg am Inn              ,2008-09-28,201,200,50,216
Bezirk Grieskirchen                  ,2008-09-28,9351,13400,3299,7785
Bad Schallerbach              ,2008-09-28,614,505,169,400
Eschenau im Hausruckkreis     ,2008-09-28,99,299,38,155
Utzenaich                     ,2008-09-28,183,322,56,193
Aigen im Mühlkreis            ,2008-09-28,264,407,98,186
St.Marienkirchen am Hausruck  ,2013-09-29,44,194,42,140
St.Martin im Innkreis         ,2013-09-29,161,188,113,265
Weilbach                      ,2013-09-29,47,160,30,86
Haslach an der Mühl           ,2013-09-29,469,404,163,217
Hofkirchen im Mühlkreis       ,2013-09-29,161,316,92,149
Julbach                       ,2013-09-29,284,307,42,179
Lembach im Mühlkreis          ,2013-09-29,175,337,58,165
Oberkappel                    ,2013-09-29,49,186,12,56
St.Martin im Mühlkreis        ,2013-09-29,413,749,230,355
Bezirk Schärding                     ,2013-09-29,6765,11246,2752,8704
St.Roman                      ,2013-09-29,70,359,25,234
Maria Neustift                ,2013-09-29,133,446,56,228
Sierning                      ,2013-09-29,1839,948,487,1179
Frankenmarkt                  ,2013-09-29,446,513,178,471
Niederthalheim                ,2013-09-29,97,219,57,193
Pitzenberg                    ,2013-09-29,53,105,40,75
Zell am Pettenfirst           ,2013-09-29,141,229,109,127
Lambach                       ,2013-09-29,414,334,165,377
Pennewang                     ,2013-09-29,57,232,58,114
Überackern                    ,2013-09-29,62,95,16,55
Freistadt                     ,2013-09-29,1184,1093,551,787
Hagenberg im Mühlkreis        ,2013-09-29,439,367,223,327
Königswiesen                  ,2013-09-29,413,775,134,403
Liebenau                      ,2013-09-29,269,426,38,171
Land Oberösterreich,2013-09-29,228293,212843,102003,180041
Geretsberg                    ,2013-09-29,80,202,47,123
Haigermoos                    ,2013-09-29,56,130,29,65
Helpfau-Uttendorf             ,2013-09-29,337,467,97,403
Mining                        ,2013-09-29,131,219,61,136
Moosbach                      ,2013-09-29,68,168,34,191
Pischelsdorf am Engelbach     ,2013-09-29,142,362,55,265
Schwand im Innkreis           ,2013-09-29,63,219,42,107
Bad Goisern                   ,2013-09-29,1736,512,384,848
Saxen                         ,2013-09-29,270,290,79,328
Bezirk Ried im Innkreis              ,2013-09-29,6884,10521,3386,8894
Hohenzell                     ,2013-09-29,151,403,143,279
Bezirk Grieskirchen                  ,2013-09-29,8273,12254,4156,9246
Eschenau im Hausruckkreis     ,2013-09-29,82,278,51,188
Meggenhofen                   ,2013-09-29,149,330,93,154
Pötting                       ,2013-09-29,37,213,26,45
Wendling                      ,2013-09-29,59,187,35,114
Inzersdorf im Kremstal        ,2013-09-29,239,330,117,286
Molln                         ,2013-09-29,628,407,172,483
Schlierbach                   ,2013-09-29,313,415,217,336
Wartberg an der Krems         ,2013-09-29,285,564,125,358
Windischgarsten               ,2013-09-29,371,266,122,280
Dimbach                       ,2013-09-29,168,274,29,99
Luftenberg an der Donau       ,2013-09-29,917,370,242,484
Gallneukirchen                ,2013-09-29,996,711,739,494
Desselbrunn                   ,2013-09-29,254,305,87,242
Berg im Attergau,2017-10-15,69,301,15,153
Innerschwand,2017-10-15,56,311,35,137
Ottnang am Hausruck,2017-10-15,580,649,62,721
Pilsbach,2017-10-15,110,145,11,88
Pöndorf,2017-10-15,261,508,9,423
Schwanenstadt,2017-10-15,540,517,106,597
Reichraming,2017-10-15,514,214,19,276
St.Ulrich bei Steyr,2017-10-15,414,652,58,438
Schiedlberg,2017-10-15,104,398,9,144
Bad Leonfelden,2017-10-15,446,1044,61,592
Ottensheim,2017-10-15,750,798,252,388
Schönegg,2017-10-15,99,106,11,95
Engelhartszell,2017-10-15,84,164,14,150
Roßbach,2017-10-15,104,196,8,205
St.Georgen am Fillmannsbach,2017-10-15,17,89,3,127
Stroheim,2017-10-15,136,422,18,306
Gutau,2017-10-15,493,623,56,340
Lasberg,2017-10-15,407,684,49,360
St.Leonhard bei Freistadt,2017-10-15,207,387,19,243
Traunviertel,2017-10-15,48205,47753,5409,42052
Steyr,2017-10-15,15715,7082,1355,10770
Wels,2017-10-15,18404,11749,1986,16352
Haigermoos,2017-10-15,53,155,8,89
Leonding,2017-10-15,4627,3553,566,3407
Niederneukirchen,2017-10-15,269,481,47,278
Oftering,2017-10-15,390,366,24,337
Piberbach,2017-10-15,282,333,36,287
Pucking,2017-10-15,589,602,55,818
Grein,2017-10-15,396,538,33,437
Mauthausen,2017-10-15,997,604,74,587
Naarn im Machlande,2017-10-15,564,801,20,602
Lambrechten,2017-10-15,85,341,17,293
Pramet,2017-10-15,110,221,8,203
Utzenaich,2017-10-15,151,348,27,255
Ahorn,2017-10-15,58,136,5,87
Kirchberg ob der Donau,2017-10-15,142,258,11,173
Neumarkt im Hausruckkreis,2017-10-15,175,214,15,222
Pollham,2017-10-15,97,252,24,139
Tollet,2017-10-15,138,212,23,118
Edlbach,2017-10-15,72,147,5,85
Spital am Pyhrn,2017-10-15,303,337,14,421
Vorderstoder,2017-10-15,54,169,6,142
Linz-Land,2017-10-15,28059,23078,2993,22806
Hofkirchen im Traunkreis,2017-10-15,307,293,38,280
St.Florian am Inn,2017-10-15,390,520,28,540
Vichtenstein,2017-10-15,35,142,6,117
Pupping,2019-09-29,191,366,111,228
Leopoldschlag,2019-09-29,76,314,57,92
Pregarten,2019-09-29,733,1107,357,522
Wartberg ob der Aist,2019-09-29,563,769,356,397
Ebensee am Traunsee,2019-09-29,1310,1234,458,694
Braunau,2019-09-29,9335,23970,5529,11462
Auerbach,2019-09-29,20,148,28,91
Feldkirchen bei Mattighofen,2019-09-29,101,513,91,300
Handenberg,2019-09-29,62,369,54,135
Lengau,2019-09-29,480,927,158,445
Dimbach,2019-09-29,104,255,39,94
Mitterkirchen im Machland,2019-09-29,196,420,58,154
Rechberg,2019-09-29,58,355,45,55
Schwertberg,2019-09-29,862,792,346,413
Utzenaich,2019-09-29,106,348,79,159
Wippenham,2019-09-29,66,106,30,58
Auberg,2019-09-29,26,170,26,59
Kleinzell im Mühlkreis,2019-09-29,159,389,125,120
Oepping,2019-09-29,104,459,82,157
Kirchham,2019-09-29,139,567,96,221
Natternbach,2019-09-29,230,596,99,247
Neukirchen am Walde,2019-09-29,144,460,76,204
Neumarkt im Hausruckkreis,2019-09-29,163,222,59,153
Pollham,2019-09-29,59,221,76,73
Tollet,2019-09-29,88,210,74,83
Rosenau am Hengstpaß,2019-09-29,103,102,9,64
Ansfelden,2019-09-29,2130,1604,578,1649
Enns,2019-09-29,1480,1521,642,782
Hörsching,2019-09-29,747,995,308,594
Kirchberg-Thening,2019-09-29,367,389,183,216
St.Florian,2019-09-29,665,1235,424,465
Reichraming,2019-09-29,425,243,74,160
Urfahr-Umgebung,2019-09-29,10531,22082,10047,7596
Bad Leonfelden,2019-09-29,277,997,262,343
Rüstorf,2019-09-29,248,325,119,229
Seewalchen am Attersee,2019-09-29,591,905,436,484
Weyregg am Attersee,2019-09-29,122,313,109,106
Wels-Land,2019-09-29,8704,15556,5104,9025
Marchtrenk,2019-09-29,1798,1657,624,1445
Neukirchen bei Lambach,2019-09-29,69,204,38,97
Hellmonsödt,2019-09-29,196,471,184,181
Reichenau im Mühlkreis,2019-09-29,127,308,74,98
Aurach am Hongar,2019-09-29,203,330,72,218
Berg im Attergau,2019-09-29,41,347,50,94
Manning,2019-09-29,75,193,67,62
Oberndorf bei Schwanenstadt,2019-09-29,158,249,72,186
St.Veit im Mühlkreis,2019-09-29,69,367,67,130
Freinberg,2019-09-29,76,321,30,107
St.Florian am Inn,2019-09-29,283,545,145,351
St.Willibald,2019-09-29,93,306,42,178
Sigharting,2019-09-29,47,240,26,124
Zell an der Pram,2019-09-29,119,482,127,181
Bad Hall,2019-09-29,492,862,263,375
Dietach,2019-09-29,424,645,263,267
Polling im Innkreis,2019-09-29,61,221,20,144
Handenberg                    ,2002-11-24,136,494,43,112
Kirchberg bei Mattighofen     ,2002-11-24,96,391,24,108
Perwang am Grabensee          ,2002-11-24,85,270,32,34
Grünbach                      ,2002-11-24,297,643,57,110
Lasberg                       ,2002-11-24,451,1031,128,108
Sandl                         ,2002-11-24,442,387,45,41
St.Oswald bei Freistadt       ,2002-11-24,628,813,75,119
Schönau im Mühlkreis          ,2002-11-24,325,760,50,77
Treubach                      ,2002-11-24,73,287,10,71
Haibach ob der Donau          ,2002-11-24,269,406,71,64
Prambachkirchen               ,2002-11-24,504,996,111,135
Land Oberösterreich                ,2002-11-24,316009,363497,74043,88790
Wahlkreis Linz und Umgebung             ,2002-11-24,86490,60711,20932,18962
Wahlkreis Hausruckviertel               ,2002-11-24,74102,89752,17368,23787
Wahlkreis Traunviertel                  ,2002-11-24,63167,63298,13117,15735
Stadt Linz                          ,2002-11-24,48849,30251,12163,10436
Stadt Wels                          ,2002-11-24,13349,9685,3037,3787
Auerbach                      ,2002-11-24,46,207,20,32
Burgkirchen                   ,2002-11-24,386,823,80,170
Taiskirchen im Innkreis       ,2002-11-24,317,888,94,151
Ahorn                         ,2002-11-24,70,184,16,35
Hörbich                       ,2002-11-24,31,197,5,24
Nebelberg                     ,2002-11-24,78,295,10,23
Niederkappel                  ,2002-11-24,131,459,14,45
Oberkappel                    ,2002-11-24,78,276,12,23
St.Johann am Wimberg          ,2002-11-24,142,409,23,61
St.Veit im Mühlkreis          ,2002-11-24,170,447,38,68
Schönegg                      ,2002-11-24,113,221,11,14
St.Wolfgang im Salzkammergut  ,2002-11-24,521,793,81,177
Bezirk Grieskirchen                  ,2002-11-24,10922,19745,2383,4474
Aistersheim                   ,2002-11-24,117,259,27,66
Grieskirchen                  ,2002-11-24,902,1378,240,316
Schlüßlberg                   ,2002-11-24,791,710,124,198
Waizenkirchen                 ,2002-11-24,578,1379,168,229
Ried im Traunkreis            ,2002-11-24,412,845,70,174
Schlierbach                   ,2002-11-24,475,765,200,150
Bezirk Linz-Land                     ,2002-11-24,34932,26952,6746,7912
Hargelsberg                   ,2002-11-24,275,360,36,53
Kematen an der Krems          ,2002-11-24,504,613,62,112
Traun                         ,2002-11-24,6444,3715,1015,1404
St.Georgen an der Gusen       ,2002-11-24,1257,730,178,139
St.Thomas am Blasenstein      ,2002-11-24,106,398,13,28
Saxen                         ,2002-11-24,364,509,57,225
Walding                       ,2002-11-24,975,1028,255,140
Timelkam                      ,2002-11-24,1638,1129,303,362
Weißenkirchen im Attergau     ,2002-11-24,98,390,23,44
Niederthalheim                ,2002-11-24,130,390,35,100
Oberwang                      ,2002-11-24,105,736,20,75
Ottnang am Hausruck           ,2002-11-24,1010,952,126,245
Pfaffing                      ,2002-11-24,282,397,67,73
Puchkirchen am Trattberg      ,2002-11-24,155,310,64,23
Regau                         ,2002-11-24,1269,1301,278,453
Rutzenham                     ,2002-11-24,13,99,24,18
Schörfling am Attersee        ,2002-11-24,700,674,180,264
St.Roman                      ,2002-11-24,122,780,33,134
Altenberg bei Linz            ,2002-11-24,605,1559,243,176
Schärding                     ,2008-09-28,810,625,222,647
Suben                         ,2008-09-28,204,233,38,136
Waldkirchen am Wesen          ,2008-09-28,175,335,37,198
Aschach an der Steyr          ,2008-09-28,334,451,143,207
Gaflenz                       ,2008-09-28,303,405,93,157
Maria Neustift                ,2008-09-28,175,518,45,184
Ottensheim                    ,2008-09-28,706,717,542,352
Ampflwang im Hausruckwald     ,2008-09-28,1022,261,96,468
Frankenburg am Hausruck       ,2008-09-28,945,699,197,859
Neufelden                     ,2008-09-28,169,273,99,90
Eggerding                     ,2008-09-28,129,303,33,206
Münzkirchen                   ,2008-09-28,256,607,114,347
Rainbach im Innkreis          ,2008-09-28,179,357,53,198
Sipbachzell                   ,2008-09-28,224,395,76,227
Steinerkirchen an der Traun   ,2008-09-28,245,622,101,247
Weißkirchen an der Traun      ,2008-09-28,643,415,171,372
Pilsbach                      ,2008-09-28,104,159,36,67
Pitzenberg                    ,2008-09-28,66,80,21,79
St.Georgen im Attergau        ,2008-09-28,398,589,137,701
Eberstalzell                  ,2008-09-28,187,583,96,337
Wahlkreis Innviertel,2008-09-28,29720,40590,9734,28801
Wahlkreis Hausruckviertel,2008-09-28,61132,56972,19743,45644
Pupping                       ,2008-09-28,353,351,93,249
Wartberg ob der Aist          ,2008-09-28,915,550,271,428
Auerbach                      ,2008-09-28,38,129,27,75
Höhnhart                      ,2008-09-28,172,282,29,195
Maria Schmolln                ,2008-09-28,155,330,52,144
Moosdorf                      ,2008-09-28,267,202,62,158
Schalchen                     ,2008-09-28,597,435,165,388
Tarsdorf                      ,2008-09-28,144,396,85,210
Pollham                       ,2008-09-28,96,220,74,103
Rottenbach                    ,2008-09-28,145,183,30,154
St.Thomas                     ,2008-09-28,29,121,25,59
Schlüßlberg                   ,2008-09-28,633,414,127,416
Micheldorf in Oberösterreich  ,2008-09-28,1326,687,342,619
Nußbach                       ,2008-09-28,304,596,82,214
Pettenbach                    ,2008-09-28,693,786,261,633
Roßleithen                    ,2008-09-28,385,355,69,176
Windischgarsten               ,2008-09-28,489,391,111,203
Kronstorf                     ,2008-09-28,740,388,140,399
Neuhofen an der Krems         ,2008-09-28,1031,799,425,568
Pucking                       ,2008-09-28,765,432,170,528
Arbing                        ,2008-09-28,241,319,87,138
Bezirk Ried im Innkreis              ,2008-09-28,7624,11565,2921,8767
Antiesenhofen                 ,2008-09-28,158,160,43,109
Lambrechten                   ,2008-09-28,116,328,37,227
Pattigham                     ,2008-09-28,73,215,36,145
St.Marienkirchen am Hausruck  ,2008-09-28,51,194,32,145
Gmunden                       ,2008-09-28,1926,1987,950,1162
Laakirchen                    ,2008-09-28,2183,938,397,1014
Scharnstein                   ,2008-09-28,902,641,244,518
Vorchdorf                     ,2008-09-28,1368,1016,407,891
Aistersheim                   ,2008-09-28,112,204,27,101
Gallspach                     ,2008-09-28,399,301,104,363
Gaspoltshofen                 ,2008-09-28,473,585,223,460
Geboltskirchen                ,2008-09-28,233,266,65,131
Heiligenberg                  ,2008-09-28,29,235,35,81
Ahorn                         ,2008-09-28,67,146,21,74
Hörbich                       ,2008-09-28,21,152,7,43
Julbach                       ,2008-09-28,343,323,42,156
Taiskirchen im Innkreis       ,2013-09-29,235,534,132,289
Berg bei Rohrbach             ,2013-09-29,274,640,150,249
Kirchberg ob der Donau        ,2013-09-29,154,251,40,136
Nebelberg                     ,2013-09-29,71,190,32,51
Peilstein im Mühlviertel      ,2013-09-29,180,422,65,174
Schönegg                      ,2013-09-29,90,132,23,52
Schärding                     ,2013-09-29,648,482,260,562
Adlwang                       ,2013-09-29,123,379,94,236
Laussa                        ,2013-09-29,176,216,61,154
Neukirchen an der Vöckla      ,2013-09-29,297,496,173,376
Oberhofen am Irrsee           ,2013-09-29,151,300,96,165
Oberwang                      ,2013-09-29,79,474,34,256
Pühret                        ,2013-09-29,72,124,26,84
Rutzenham                     ,2013-09-29,11,67,33,30
Steinbach am Attersee         ,2013-09-29,103,183,62,65
Tiefgraben                    ,2013-09-29,290,677,195,356
Unterach am Attersee          ,2013-09-29,203,227,78,115
Bezirk Wels-Land                     ,2013-09-29,10525,10022,4510,10543
Gunskirchen                   ,2013-09-29,853,707,300,906
Steinerkirchen an der Traun   ,2013-09-29,188,579,139,304
Treubach                      ,2013-09-29,35,169,17,116
Hinzenbach                    ,2013-09-29,324,334,110,302
Prambachkirchen               ,2013-09-29,339,561,143,425
Pupping                       ,2013-09-29,258,311,125,270
Hirschbach im Mühlkreis       ,2013-09-29,137,307,87,93
Kaltenberg                    ,2013-09-29,29,237,17,82
Lasberg                       ,2013-09-29,347,621,245,250
Pierbach                      ,2013-09-29,122,240,32,139
Wahlkreis Hausruckviertel,2013-09-29,53584,52181,24013,50470
Feldkirchen bei Mattighofen   ,2013-09-29,128,340,83,314
Hochburg-Ach                  ,2013-09-29,237,496,128,271
Lengau                        ,2013-09-29,742,480,256,591
Bezirk Gmunden                       ,2013-09-29,18211,12895,7684,11598
Gmunden                       ,2013-09-29,1409,1446,1001,1118
Gschwandt                     ,2013-09-29,378,430,188,365
Rechberg                      ,2013-09-29,80,305,40,53
St.Georgen an der Gusen       ,2013-09-29,884,447,279,391
Andrichsfurt                  ,2013-09-29,30,151,27,111
Lambrechten                   ,2013-09-29,87,365,39,218
Mettmach                      ,2013-09-29,304,376,66,413
Mörschwang                    ,2013-09-29,12,90,26,35
Neuhofen im Innkreis          ,2013-09-29,285,358,148,262
St.Wolfgang im Salzkammergut  ,2013-09-29,376,413,115,269
Haag am Hausruck              ,2013-09-29,299,318,127,270
Heiligenberg                  ,2013-09-29,26,210,33,110
Hofkirchen an der Trattnach   ,2013-09-29,155,291,72,221
Pram                          ,2013-09-29,215,256,101,282
Taufkirchen an der Trattnach  ,2013-09-29,200,364,89,318
Waizenkirchen                 ,2013-09-29,382,799,213,471
Weibern                       ,2013-09-29,139,337,106,187
St.Pankraz                    ,2013-09-29,50,30,9,76
Steinbach am Ziehberg         ,2013-09-29,99,168,41,122
Allhaming                     ,2013-09-29,140,197,65,126
Eggendorf im Traunkreis       ,2013-09-29,124,154,35,104
Kematen an der Krems          ,2013-09-29,333,352,139,338
St.Marien                     ,2013-09-29,796,758,301,474
Wolfern                       ,2013-09-29,465,556,166,341
Altenberg bei Linz            ,2013-09-29,460,1086,355,380
Haibach im Mühlkreis          ,2013-09-29,113,206,62,96
Hellmonsödt                   ,2013-09-29,254,365,207,246
Ottensheim                    ,2013-09-29,533,617,580,355
Walding                       ,2013-09-29,735,597,338,331
Bezirk Vöcklabruck                   ,2013-09-29,19881,20195,9170,18032
Atzbach                       ,2013-09-29,79,292,67,163
Frankenburg am Hausruck,2017-10-15,794,846,62,952
Lenzing,2017-10-15,978,413,61,918
Manning,2017-10-15,116,164,18,117
Mondsee,2017-10-15,285,542,66,360
Nußdorf am Attersee,2017-10-15,80,270,10,168
Vöcklabruck,2017-10-15,22591,28530,3326,24757
Wolfern,2017-10-15,469,684,34,463
Weyer,2017-10-15,777,664,65,658
Feldkirchen an der Donau,2017-10-15,925,999,108,821
Sonnberg im Mühlkreis,2017-10-15,147,207,22,142
Niederwaldkirchen,2017-10-15,169,477,29,233
Oepping,2017-10-15,134,437,28,260
St.Oswald bei Haslach,2017-10-15,72,125,7,66
Dorf an der Pram,2017-10-15,99,316,7,145
Mayrhof,2017-10-15,21,103,1,64
Riedau,2017-10-15,285,274,31,319
Neukirchen bei Lambach,2017-10-15,79,202,13,150
Pichl bei Wels,2017-10-15,352,548,63,503
Sipbachzell,2017-10-15,198,419,10,348
Palting,2017-10-15,75,232,10,176
Fraham,2017-10-15,411,371,40,416
Hartkirchen,2017-10-15,615,872,60,862
Grünbach,2017-10-15,265,418,18,322
Unterweißenbach,2017-10-15,211,591,23,430
Linz,2017-10-15,70825,40516,9517,43122
Braunau am Inn,2017-10-15,14926,21828,1863,20742
Feldkirchen bei Mattighofen,2017-10-15,165,429,19,441
Geretsberg,2017-10-15,81,258,12,203
Helpfau-Uttendorf,2017-10-15,282,553,25,544
Mining,2017-10-15,127,296,16,193
